"Common Name","Scientific Name","Scientific Name_url","Status","ESA Listing Date","Publication Date","Publication Page","State Abbreviation"
"Trispot darter","Etheostoma trisella","https://ecos.fws.gov/ecp/species/8219","Threatened","01-28-2019","12-28-2018","83 FR 67190 67210","AL"
"Trispot darter","Etheostoma trisella","https://ecos.fws.gov/ecp/species/8219","Threatened","01-28-2019","12-28-2018","83 FR 67190 67210","GA"
"Trispot darter","Etheostoma trisella","https://ecos.fws.gov/ecp/species/8219","Threatened","01-28-2019","12-28-2018","83 FR 67190 67210","TN"
"Sonoyta mud turtle","Kinosternon sonoriense longifemorale","https://ecos.fws.gov/ecp/species/7276","Endangered","10-20-2017","12-06-2018","83 FR 62778 62794","AZ"
"Candy darter","Etheostoma osburni","https://ecos.fws.gov/ecp/species/1396","Endangered","12-21-2018","11-21-2018","83 FR 59232 59268","VA"
"Candy darter","Etheostoma osburni","https://ecos.fws.gov/ecp/species/1396","Endangered","12-21-2018","11-21-2018","83 FR 59232 59268","WV"
"Spring pygmy sunfish","Elassoma alabamae","https://ecos.fws.gov/ecp/species/652","Threatened","12-02-2013","11-05-2018","83 FR 55341 55345","AL"
"Ko`oko`olau","Bidens micrantha ssp. ctenophylla","https://ecos.fws.gov/ecp/species/1585","Endangered","11-29-2013","08-21-2018","83 FR 42362 42435","HI"
"Kula wahine noho","Isodendrion pyrifolium","https://ecos.fws.gov/ecp/species/2235","Endangered","03-04-1994","08-21-2018","83 FR 42362 42435","HI"
"Uhi uhi","Mezoneuron kavaiense","https://ecos.fws.gov/ecp/species/7129","Endangered","07-08-1986","08-21-2018","83 FR 42362 42435","HI"
"Black warrior (=Sipsey Fork) Waterdog","Necturus alabamensis","https://ecos.fws.gov/ecp/species/5426","Endangered","02-02-2018","01-03-2018","83 FR 257 284","AL"
"Guadalupe fescue","Festuca ligulata","https://ecos.fws.gov/ecp/species/8068","Endangered","10-10-2017","09-07-2017","82 FR 42245 42260","TX"
"Guadalupe fescue","Festuca ligulata","https://ecos.fws.gov/ecp/species/8068","Endangered","10-10-2017","06-13-2017","82 FR 27033 27035","TX"
"canary rockfish","Sebastes pinniger","https://ecos.fws.gov/ecp/species/9166","Threatened","04-13-2011","11-02-2016","81 FR 76311 76314",
"Coho salmon","Oncorhynchus (=Salmo) kisutch","https://ecos.fws.gov/ecp/species/8564","Threatened","06-28-2005","11-02-2016","81 FR 76311 76314",
"Steelhead","Oncorhynchus (=Salmo) mykiss","https://ecos.fws.gov/ecp/species/1007","Threatened","05-07-2007","11-02-2016","81 FR 76311 76314","WA"
"yelloweye rockfish","Sebastes ruberrimus","https://ecos.fws.gov/ecp/species/9168","Threatened","04-13-2011","11-02-2016","81 FR 76311 76314",
"Black warrior (=Sipsey Fork) Waterdog","Necturus alabamensis","https://ecos.fws.gov/ecp/species/5426","Endangered","02-02-2018","10-06-2016","81 FR 69475 69500","AL"
"Kentucky arrow darter","Etheostoma spilotum","https://ecos.fws.gov/ecp/species/9063","Threatened","11-04-2016","10-05-2016","81 FR 69312 69363","KY"
"Eastern Massasauga (=rattlesnake)","Sistrurus catenatus","https://ecos.fws.gov/ecp/species/2202","Threatened","09-30-2016","09-30-2016","81 FR 67193 67214","IA"
"Eastern Massasauga (=rattlesnake)","Sistrurus catenatus","https://ecos.fws.gov/ecp/species/2202","Threatened","09-30-2016","09-30-2016","81 FR 67193 67214","IL"
"Eastern Massasauga (=rattlesnake)","Sistrurus catenatus","https://ecos.fws.gov/ecp/species/2202","Threatened","09-30-2016","09-30-2016","81 FR 67193 67214","IN"
"Eastern Massasauga (=rattlesnake)","Sistrurus catenatus","https://ecos.fws.gov/ecp/species/2202","Threatened","09-30-2016","09-30-2016","81 FR 67193 67214","MI"
"Eastern Massasauga (=rattlesnake)","Sistrurus catenatus","https://ecos.fws.gov/ecp/species/2202","Threatened","09-30-2016","09-30-2016","81 FR 67193 67214","MN"
"Eastern Massasauga (=rattlesnake)","Sistrurus catenatus","https://ecos.fws.gov/ecp/species/2202","Threatened","09-30-2016","09-30-2016","81 FR 67193 67214","NY"
"Eastern Massasauga (=rattlesnake)","Sistrurus catenatus","https://ecos.fws.gov/ecp/species/2202","Threatened","09-30-2016","09-30-2016","81 FR 67193 67214","OH"
"Eastern Massasauga (=rattlesnake)","Sistrurus catenatus","https://ecos.fws.gov/ecp/species/2202","Threatened","09-30-2016","09-30-2016","81 FR 67193 67214","PA"
"Eastern Massasauga (=rattlesnake)","Sistrurus catenatus","https://ecos.fws.gov/ecp/species/2202","Threatened","09-30-2016","09-30-2016","81 FR 67193 67214","WI"
"Guadalupe fescue","Festuca ligulata","https://ecos.fws.gov/ecp/species/8068","Endangered","10-10-2017","09-09-2016","81 FR 62455 62469","TX"
"Mountain yellow-legged frog","Rana muscosa","https://ecos.fws.gov/ecp/species/8037","Endangered","06-30-2014","08-26-2016","81 FR 59045 59119","CA"
"Sierra Nevada Yellow-legged Frog","Rana sierrae","https://ecos.fws.gov/ecp/species/9529","Endangered","06-30-2014","08-26-2016","81 FR 59045 59119","CA"
"Yosemite toad","Anaxyrus canorus","https://ecos.fws.gov/ecp/species/7255","Threatened","06-30-2014","08-26-2016","81 FR 59045 59119","CA"
"Acuna Cactus","Echinomastus erectocentrus var. acunensis","https://ecos.fws.gov/ecp/species/5785","Endangered","10-31-2013","08-18-2016","81 FR 55265 55313","AZ"
"Fickeisen plains cactus","Pediocactus peeblesianus fickeiseniae","https://ecos.fws.gov/ecp/species/5484","Endangered","10-31-2013","08-18-2016","81 FR 55265 55313","AZ"
"Marbled murrelet","Brachyramphus marmoratus","https://ecos.fws.gov/ecp/species/4467","Threatened","10-01-1992","08-04-2016","81 FR 51348 51370","CA"
"Marbled murrelet","Brachyramphus marmoratus","https://ecos.fws.gov/ecp/species/4467","Threatened","10-01-1992","08-04-2016","81 FR 51348 51370","OR"
"Marbled murrelet","Brachyramphus marmoratus","https://ecos.fws.gov/ecp/species/4467","Threatened","10-01-1992","08-04-2016","81 FR 51348 51370","WA"
"Elfin-woods warbler","Setophaga angelae","https://ecos.fws.gov/ecp/species/2972","Threatened","07-22-2016","06-22-2016","81 FR 40632 40650","PR"
"Zuni bluehead Sucker","Catostomus discobolus yarrowi","https://ecos.fws.gov/ecp/species/3536","Endangered","08-25-2014","06-07-2016","81 FR 36761 36785","AZ"
"Zuni bluehead Sucker","Catostomus discobolus yarrowi","https://ecos.fws.gov/ecp/species/3536","Endangered","08-25-2014","06-07-2016","81 FR 36761 36785","NM"
"Oregon spotted frog","Rana pretiosa","https://ecos.fws.gov/ecp/species/6633","Threatened","09-29-2014","05-11-2016","81 FR 29335 29396","CA"
"Oregon spotted frog","Rana pretiosa","https://ecos.fws.gov/ecp/species/6633","Threatened","09-29-2014","05-11-2016","81 FR 29335 29396","OR"
"Oregon spotted frog","Rana pretiosa","https://ecos.fws.gov/ecp/species/6633","Threatened","09-29-2014","05-11-2016","81 FR 29335 29396","WA"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","AL"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","AR"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","CT"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","DC"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","DE"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","GA"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","IA"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","IL"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","IN"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","KS"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","KY"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","LA"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","MA"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","MD"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","ME"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","MI"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","MN"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","MO"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","MS"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","MT"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","NC"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","ND"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","NE"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","NH"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","NJ"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","NY"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","OH"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","OK"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","PA"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","RI"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","SC"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","SD"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","TN"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","VA"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","VT"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","WI"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","WV"
"Northern Long-Eared Bat","Myotis septentrionalis","https://ecos.fws.gov/ecp/species/9045","Threatened","05-04-2015","04-27-2016","81 FR 24707 24714","WY"
"A`e","Zanthoxylum hawaiiense","https://ecos.fws.gov/ecp/species/4645","Endangered","03-04-1994","03-30-2016","81 FR 17789 18110","HI"
"`Ahinahina","Argyroxiphium sandwicense ssp. macrocephalum","https://ecos.fws.gov/ecp/species/387","Threatened","05-15-1992","03-30-2016","81 FR 17789 18110","HI"
"`Ala `ala wai nui","Peperomia subpetiolata","https://ecos.fws.gov/ecp/species/7437","Endangered","06-27-2013","03-30-2016","81 FR 17789 18110","HI"
"Alani","Melicope adscendens","https://ecos.fws.gov/ecp/species/4028","Endangered","12-05-1994","03-30-2016","81 FR 17789 18110","HI"
"Alani","Melicope balloui","https://ecos.fws.gov/ecp/species/7786","Endangered","12-05-1994","03-30-2016","81 FR 17789 18110","HI"
"Alani","Melicope knudsenii","https://ecos.fws.gov/ecp/species/4668","Endangered","02-25-1994","03-30-2016","81 FR 17789 18110","HI"
"Alani","Melicope mucronulata","https://ecos.fws.gov/ecp/species/706","Endangered","05-15-1992","03-30-2016","81 FR 17789 18110","HI"
"Alani","Melicope munroi","https://ecos.fws.gov/ecp/species/5818","Endangered","09-03-1999","03-30-2016","81 FR 17789 18110","HI"
"Alani","Melicope ovalis","https://ecos.fws.gov/ecp/species/6401","Endangered","12-05-1994","03-30-2016","81 FR 17789 18110","HI"
"Alani","Melicope reflexa","https://ecos.fws.gov/ecp/species/2942","Endangered","10-08-1992","03-30-2016","81 FR 17789 18110","HI"
"Asplenium-leaved diellia","Asplenium dielerectum","https://ecos.fws.gov/ecp/species/7361","Endangered","11-10-1994","03-30-2016","81 FR 17789 18110","HI"
"`Awikiwiki","Canavalia molokaiensis","https://ecos.fws.gov/ecp/species/2269","Endangered","10-08-1992","03-30-2016","81 FR 17789 18110","HI"
"`Awikiwiki","Canavalia pubescens","https://ecos.fws.gov/ecp/species/7908","Endangered","06-27-2013","03-30-2016","81 FR 17789 18110","HI"
"Awiwi","Schenkia sebaeoides","https://ecos.fws.gov/ecp/species/7103","Endangered","10-29-1991","03-30-2016","81 FR 17789 18110","HI"
"Cooke's koki`o","Kokia cookei","https://ecos.fws.gov/ecp/species/2459","Endangered","11-29-1979","03-30-2016","81 FR 17789 18110","HI"
"crested honeycreeper (Akohekohe)","Palmeria dolei","https://ecos.fws.gov/ecp/species/3089","Endangered","03-11-1967","03-30-2016","81 FR 17789 18110","HI"
"haha","Cyanea dunbariae","https://ecos.fws.gov/ecp/species/5244","Endangered","10-10-1996","03-30-2016","81 FR 17789 18110","HI"
"haha","Cyanea duvalliorum","https://ecos.fws.gov/ecp/species/9237","Endangered","06-27-2013","03-30-2016","81 FR 17789 18110","HI"
"haha","Cyanea gibsonii","https://ecos.fws.gov/ecp/species/4024","Endangered","09-20-1991","03-30-2016","81 FR 17789 18110","HI"
"haha","Cyanea magnicalyx","https://ecos.fws.gov/ecp/species/9239","Endangered","06-27-2013","03-30-2016","81 FR 17789 18110","HI"
"haha","Cyanea maritae","https://ecos.fws.gov/ecp/species/9240","Endangered","06-27-2013","03-30-2016","81 FR 17789 18110","HI"
"haha","Cyanea mauiensis","https://ecos.fws.gov/ecp/species/9241","Endangered","06-27-2013","03-30-2016","81 FR 17789 18110","HI"
"haha","Cyanea munroi","https://ecos.fws.gov/ecp/species/9242","Endangered","06-27-2013","03-30-2016","81 FR 17789 18110","HI"
"Haha","Cyanea asplenifolia","https://ecos.fws.gov/ecp/species/7940","Endangered","06-27-2013","03-30-2016","81 FR 17789 18110","HI"
"Haha","Cyanea copelandii ssp. haleakalaensis","https://ecos.fws.gov/ecp/species/4574","Endangered","09-03-1999","03-30-2016","81 FR 17789 18110","HI"
"Haha","Cyanea glabra","https://ecos.fws.gov/ecp/species/7981","Endangered","09-03-1999","03-30-2016","81 FR 17789 18110","HI"
"Haha","Cyanea grimesiana ssp. grimesiana","https://ecos.fws.gov/ecp/species/851","Endangered","10-10-1996","03-30-2016","81 FR 17789 18110","HI"
"Haha","Cyanea hamatiflora ssp. hamatiflora","https://ecos.fws.gov/ecp/species/7380","Endangered","09-03-1999","03-30-2016","81 FR 17789 18110","HI"
"Haha","Cyanea kunthiana","https://ecos.fws.gov/ecp/species/5320","Endangered","06-27-2013","03-30-2016","81 FR 17789 18110","HI"
"Haha","Cyanea lobata","https://ecos.fws.gov/ecp/species/5829","Endangered","05-15-1992","03-30-2016","81 FR 17789 18110","HI"
"Haha","Cyanea mannii","https://ecos.fws.gov/ecp/species/4595","Endangered","10-08-1992","03-30-2016","81 FR 17789 18110","HI"
"Haha","Cyanea mceldowneyi","https://ecos.fws.gov/ecp/species/984","Endangered","05-15-1992","03-30-2016","81 FR 17789 18110","HI"
"Haha","Cyanea obtusa","https://ecos.fws.gov/ecp/species/2907","Endangered","06-27-2013","03-30-2016","81 FR 17789 18110","HI"
"Haha","Cyanea procera","https://ecos.fws.gov/ecp/species/4935","Endangered","10-08-1992","03-30-2016","81 FR 17789 18110","HI"
"Haha","Cyanea profuga","https://ecos.fws.gov/ecp/species/1854","Endangered","06-27-2013","03-30-2016","81 FR 17789 18110","HI"
"haha nui","Cyanea horrida","https://ecos.fws.gov/ecp/species/9238","Endangered","06-27-2013","03-30-2016","81 FR 17789 18110","HI"
"haiwale","Cyrtandra ferripilosa","https://ecos.fws.gov/ecp/species/9243","Endangered","06-27-2013","03-30-2016","81 FR 17789 18110","HI"
"Ha`iwale","Cyrtandra filipes","https://ecos.fws.gov/ecp/species/8527","Endangered","06-27-2013","03-30-2016","81 FR 17789 18110","HI"
"Ha`iwale","Cyrtandra munroi","https://ecos.fws.gov/ecp/species/3347","Endangered","05-15-1992","03-30-2016","81 FR 17789 18110","HI"
"Ha`iwale","Cyrtandra oxybapha","https://ecos.fws.gov/ecp/species/4937","Endangered","06-27-2013","03-30-2016","81 FR 17789 18110","HI"
"Hala pepe","Pleomele fernaldii","https://ecos.fws.gov/ecp/species/6285","Endangered","06-27-2013","03-30-2016","81 FR 17789 18110","HI"
"Hillegrand's reedgrass","Calamagrostis hillebrandii","https://ecos.fws.gov/ecp/species/1913","Endangered","06-27-2013","03-30-2016","81 FR 17789 18110","HI"
"Hilo ischaemum","Ischaemum byrone","https://ecos.fws.gov/ecp/species/3903","Endangered","03-04-1994","03-30-2016","81 FR 17789 18110","HI"
"Hoawa","Pittosporum halophilum","https://ecos.fws.gov/ecp/species/3905","Endangered","06-27-2013","03-30-2016","81 FR 17789 18110","HI"
"Ihi`ihi","Marsilea villosa","https://ecos.fws.gov/ecp/species/2169","Endangered","06-22-1992","03-30-2016","81 FR 17789 18110","HI"
"Kamakahala","Labordia tinifolia var. lanaiensis","https://ecos.fws.gov/ecp/species/4664","Endangered","09-03-1999","03-30-2016","81 FR 17789 18110","HI"
"Kamakahala","Labordia triflora","https://ecos.fws.gov/ecp/species/5928","Endangered","09-03-1999","03-30-2016","81 FR 17789 18110","HI"
"Kamanomano","Cenchrus agrimonioides","https://ecos.fws.gov/ecp/species/2928","Endangered","10-10-1996","03-30-2016","81 FR 17789 18110","HI"
"Kauila","Colubrina oppositifolia","https://ecos.fws.gov/ecp/species/850","Endangered","03-04-1994","03-30-2016","81 FR 17789 18110","HI"
"Kio`ele","Kadua coriacea","https://ecos.fws.gov/ecp/species/5504","Endangered","05-15-1992","03-30-2016","81 FR 17789 18110","HI"
"Kohe malama malama o kanaloa","Kanaloa kahoolawensis","https://ecos.fws.gov/ecp/species/8191","Endangered","09-03-1999","03-30-2016","81 FR 17789 18110","HI"
"Koki`o ke`oke`o","Hibiscus arnottianus ssp. immaculatus","https://ecos.fws.gov/ecp/species/5708","Endangered","10-08-1992","03-30-2016","81 FR 17789 18110","HI"
"Kolea","Myrsine vaccinioides","https://ecos.fws.gov/ecp/species/1903","Endangered","06-27-2013","03-30-2016","81 FR 17789 18110","HI"
