"Common Name","Scientific Name","Scientific Name_url","Status","ESA Listing Date","Publication Date","Publication Page"
"Trispot darter","Etheostoma trisella","https://ecos.fws.gov/ecp/species/8219","Threatened","01-28-2019","12-28-2018","83 FR 67190 67210"
"Sonoyta mud turtle","Kinosternon sonoriense longifemorale","https://ecos.fws.gov/ecp/species/7276","Endangered","10-20-2017","12-06-2018","83 FR 62778 62794"
"Candy darter","Etheostoma osburni","https://ecos.fws.gov/ecp/species/1396","Endangered","12-21-2018","11-21-2018","83 FR 59232 59268"
"Spring pygmy sunfish","Elassoma alabamae","https://ecos.fws.gov/ecp/species/652","Threatened","12-02-2013","11-05-2018","83 FR 55341 55345"
"Ko`oko`olau","Bidens micrantha ssp. ctenophylla","https://ecos.fws.gov/ecp/species/1585","Endangered","11-29-2013","08-21-2018","83 FR 42362 42435"
"Kula wahine noho","Isodendrion pyrifolium","https://ecos.fws.gov/ecp/species/2235","Endangered","03-04-1994","08-21-2018","83 FR 42362 42435"
"Uhi uhi","Mezoneuron kavaiense","https://ecos.fws.gov/ecp/species/7129","Endangered","07-08-1986","08-21-2018","83 FR 42362 42435"
"Black warrior (=Sipsey Fork) Waterdog","Necturus alabamensis","https://ecos.fws.gov/ecp/species/5426","Endangered","02-02-2018","01-03-2018","83 FR 257 284"
"Guadalupe fescue","Festuca ligulata","https://ecos.fws.gov/ecp/species/8068","Endangered","10-10-2017","09-07-2017","82 FR 42245 42260"
"Guadalupe fescue","Festuca ligulata","https://ecos.fws.gov/ecp/species/8068","Endangered","10-10-2017","06-13-2017","82 FR 27033 27035"
"canary rockfish","Sebastes pinniger","https://ecos.fws.gov/ecp/species/9166","Threatened","04-13-2011","11-02-2016","81 FR 76311 76314"
"Coho salmon","Oncorhynchus (=Salmo) kisutch","https://ecos.fws.gov/ecp/species/8564","Threatened","06-28-2005","11-02-2016","81 FR 76311 76314"
"Steelhead","Oncorhynchus (=Salmo) mykiss","https://ecos.fws.gov/ecp/species/1007","Threatened","05-07-2007","11-02-2016","81 FR 76311 76314"
