"Common Name","Scientific Name","Scientific Name_url","Status","Entity Description","ESA Listing Date","Region Description","Region Name","Region Name_url","Taxonomic Group","Crithab Status","Publication Date"
"Aboriginal Prickly-apple","Harrisia (=Cereus) aboriginum (=gracilis)","https://ecos.fws.gov/ecp/species/2833","Endangered","Wherever found","11-25-2013","Southeast Region","Region 4","http://www.fws.gov/southeast/","Flowering Plants","Final","01-22-2016"
"Acuna Cactus","Echinomastus erectocentrus var. acunensis","https://ecos.fws.gov/ecp/species/5785","Endangered","Wherever found","10-31-2013","Southwest Region","Region 2","http://www.fws.gov/southwest/","Flowering Plants","Final","08-18-2016"
"A`e","Zanthoxylum dipetalum var. tomentosum","https://ecos.fws.gov/ecp/species/2297","Endangered","Wherever found","10-10-1996","Pacific Region","Region 1","http://www.fws.gov/pacific/","Flowering Plants","Final","07-02-2003"
"A`e","Zanthoxylum hawaiiense","https://ecos.fws.gov/ecp/species/4645","Endangered","Wherever found","03-04-1994","Pacific Region","Region 1","http://www.fws.gov/pacific/","Flowering Plants","Final","03-30-2016"
"A`e","Zanthoxylum oahuense","https://ecos.fws.gov/ecp/species/7998","Endangered","Wherever found","10-18-2012","Pacific Region","Region 1","http://www.fws.gov/pacific/","Flowering Plants","Final","09-18-2012"
"`Ahinahina","Argyroxiphium sandwicense ssp. macrocephalum","https://ecos.fws.gov/ecp/species/387","Threatened","Wherever found","05-15-1992","Pacific Region","Region 1","http://www.fws.gov/pacific/","Flowering Plants","Final","03-30-2016"
"`Ahinahina","Argyroxiphium sandwicense ssp. sandwicense","https://ecos.fws.gov/ecp/species/262","Endangered","Wherever found","03-21-1986","Pacific Region","Region 1","http://www.fws.gov/pacific/","Flowering Plants",,
"`Aiakeakua, popolo","Solanum sandwicense","https://ecos.fws.gov/ecp/species/7342","Endangered","Wherever found","02-25-1994","Pacific Region","Region 1","http://www.fws.gov/pacific/","Flowering Plants","Final","09-18-2012"
"`Aiea","Nothocestrum breviflorum","https://ecos.fws.gov/ecp/species/7493","Endangered","Wherever found","03-04-1994","Pacific Region","Region 1","http://www.fws.gov/pacific/","Flowering Plants","Final","07-02-2003"
"`Aiea","Nothocestrum latifolium","https://ecos.fws.gov/ecp/species/1061","Endangered","Wherever found","10-31-2016","Pacific Region","Region 1","http://www.fws.gov/pacific/","Flowering Plants",,
"`Aiea","Nothocestrum peltatum","https://ecos.fws.gov/ecp/species/5366","Endangered","Wherever found","02-25-1994","Pacific Region","Region 1","http://www.fws.gov/pacific/","Flowering Plants","Final","02-27-2003"
"Akekee","Loxops caeruleirostris","https://ecos.fws.gov/ecp/species/153","Endangered","Wherever found","05-13-2010","Pacific Region","Region 1","http://www.fws.gov/pacific/","Birds","Final","04-13-2010"
"akiapolaau","Hemignathus wilsoni","https://ecos.fws.gov/ecp/species/1816","Endangered","Wherever found","03-11-1967","Pacific Region","Region 1","http://www.fws.gov/pacific/","Birds",,
"Akikiki","Oreomystis bairdi","https://ecos.fws.gov/ecp/species/6617","Endangered","Wherever found","05-13-2010","Pacific Region","Region 1","http://www.fws.gov/pacific/","Birds","Final","04-13-2010"
"`Akoko","Euphorbia celastroides var. kaenana","https://ecos.fws.gov/ecp/species/3842","Endangered","Wherever found","10-29-1991","Pacific Region","Region 1","http://www.fws.gov/pacific/","Flowering Plants","Final","09-18-2012"
"`Akoko","Euphorbia deppeana","https://ecos.fws.gov/ecp/species/6446","Endangered","Wherever found","03-28-1994","Pacific Region","Region 1","http://www.fws.gov/pacific/","Flowering Plants","Final","09-18-2012"
"`Akoko","Euphorbia eleanoriae","https://ecos.fws.gov/ecp/species/1368","Endangered","Wherever found","05-13-2010","Pacific Region","Region 1","http://www.fws.gov/pacific/","Flowering Plants","Final","04-13-2010"
"`Akoko","Euphorbia haeleeleana","https://ecos.fws.gov/ecp/species/8432","Endangered","Wherever found","10-10-1996","Pacific Region","Region 1","http://www.fws.gov/pacific/","Flowering Plants","Final","09-18-2012"
"`Akoko","Euphorbia herbstii","https://ecos.fws.gov/ecp/species/6481","Endangered","Wherever found","10-10-1996","Pacific Region","Region 1","http://www.fws.gov/pacific/","Flowering Plants","Final","09-18-2012"
"`Akoko","Euphorbia kuwaleana","https://ecos.fws.gov/ecp/species/6308","Endangered","Wherever found","10-29-1991","Pacific Region","Region 1","http://www.fws.gov/pacific/","Flowering Plants","Final","09-18-2012"
"`Akoko","Euphorbia remyi var. kauaiensis","https://ecos.fws.gov/ecp/species/2643","Endangered","Wherever found","05-13-2010","Pacific Region","Region 1","http://www.fws.gov/pacific/","Flowering Plants","Final","04-13-2010"
"`Akoko","Euphorbia remyi var. remyi","https://ecos.fws.gov/ecp/species/6388","Endangered","Wherever found","05-13-2010","Pacific Region","Region 1","http://www.fws.gov/pacific/","Flowering Plants","Final","04-13-2010"
"`Akoko","Euphorbia rockii","https://ecos.fws.gov/ecp/species/6024","Endangered","Wherever found","10-10-1996","Pacific Region","Region 1","http://www.fws.gov/pacific/","Flowering Plants","Final","09-18-2012"
"''Akoko","Euphorbia halemanui","https://ecos.fws.gov/ecp/species/8441","Endangered","Wherever found","05-13-1992","Pacific Region","Region 1","http://www.fws.gov/pacific/","Flowering Plants","Proposed","02-27-2003"
"`aku","Cyanea tritomantha","https://ecos.fws.gov/ecp/species/7678","Endangered","Wherever found","11-29-2013","Pacific Region","Region 1","http://www.fws.gov/pacific/","Flowering Plants",,
"`aku`aku","Cyanea platyphylla","https://ecos.fws.gov/ecp/species/2041","Endangered","Wherever found","10-10-1996","Pacific Region","Region 1","http://www.fws.gov/pacific/","Flowering Plants","Final","07-02-2003"
"`Ala `ala wai nui","Peperomia subpetiolata","https://ecos.fws.gov/ecp/species/7437","Endangered","Wherever found","06-27-2013","Pacific Region","Region 1","http://www.fws.gov/pacific/","Flowering Plants","Final","03-30-2016"
"Alabama beach mouse","Peromyscus polionotus ammobates","https://ecos.fws.gov/ecp/species/6956","Endangered","Wherever found","06-06-1985","Southeast Region","Region 4","http://www.fws.gov/southeast/","Mammals","Final","01-30-2007"
